po_/_so_#,country,sub_classification,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,first_line_designation,freight_cost_(usd),shipment_mode,days_to_process
0,528,3,100,1634,16.34,0.01,0.0,1,0.0,0,-223
0,1402,1,180,400,15760.0,39.4,0.22,0,0.0,3,-403
0,1402,5,90,6,47.28,7.88,0.09,0,0.0,3,-403
0,1402,1,30,500,10925.0,21.85,0.73,0,0.0,3,-403
0,673,1,60,10080,29232.0,2.9,0.05,1,4159.45,0,-346
0,673,1,30,6720,77145.6,11.48,0.38,1,3796.05,0,-365
0,1064,3,100,250,2.5,0.01,0.0,1,0.0,0,-388
0,1402,1,30,300,4614.0,15.38,0.51,0,0.0,0,-420
0,1402,1,60,300,4155.0,13.85,0.23,1,0.0,0,-402
0,1402,1,30,100,1849.0,18.49,0.62,0,0.0,0,-420
0,1107,3,100,1130,11.3,0.01,0.0,1,0.0,0,-369
0,673,5,60,400,2800.0,7.0,0.12,1,3013.09,0,-241
0,673,1,60,10780,15631.0,1.45,0.02,1,7575.6,0,-286
0,1402,1,180,670,24783.3,36.99,0.21,0,0.0,3,-389
0,1402,1,60,2000,11060.0,5.53,0.09,1,0.0,3,-376
0,1402,1,60,1000,16630.0,16.63,0.28,1,0.0,3,-383
0,1402,5,240,30,435.9,14.53,0.06,0,0.0,3,-389
0,615,2,100,1123,78610.0,70.0,0.7,1,2851.72,0,-217
0,403,2,100,340,47260.0,139.0,1.39,1,5446.06,0,-289
0,403,1,60,47879,569281.31,11.89,0.2,1,30408.04,0,-314
0,403,1,60,61021,725539.69,11.89,0.2,1,38120.96,0,-313
0,673,1,60,4300,37023.0,8.61,0.14,0,3549.77,0,-255
0,673,1,60,18030,26143.5,1.45,0.02,1,5822.44,0,-241
0,1402,1,60,50,663.5,13.27,0.22,1,0.0,3,-322
0,1402,5,30,250,715.0,2.86,0.1,0,0.0,3,-328
0,1402,1,30,60,1096.2,18.27,0.61,0,0.0,3,-328
0,1402,5,200,12,150.48,12.54,0.06,0,0.0,3,-328
0,648,3,100,3000,30.0,0.01,0.0,1,7303.52,0,-252
0,237,2,100,213,15333.87,71.99,0.72,1,1047.39,0,-215
0,1107,3,100,6502,65.02,0.01,0.0,1,24870.05,0,-229
0,1107,2,100,6875,549931.25,79.99,0.8,1,19992.75,0,-262
0,673,1,120,434,35674.8,82.2,0.68,1,2709.98,0,-181
0,673,1,60,1100,12540.0,11.4,0.19,1,2568.6,0,-189
0,673,1,30,8400,85596.0,10.19,0.34,1,3247.73,0,-188
0,673,1,60,3648,26448.0,7.25,0.12,1,2335.19,0,-180
0,237,4,25,108,4050.0,37.5,1.5,1,648.27,0,-168
0,181,2,20,5958,160866.0,27.0,1.35,1,11066.17,0,-231
0,181,2,20,3982,107514.0,27.0,1.35,1,7303.25,0,-210
0,1402,1,30,300,7080.0,23.6,0.79,1,0.0,3,-291
0,1402,5,240,40,557.6,13.94,0.06,0,0.0,3,-291
0,528,2,1,5000,12706.65,2.54,2.54,1,0.0,0,-118
0,673,1,60,6000,17400.0,2.9,0.05,1,2653.27,0,-186
0,1402,1,30,1300,20410.0,15.7,0.52,0,0.0,3,-235
0,1402,5,200,120,733.2,6.11,0.03,0,0.0,3,-235
0,1402,1,270,6,424.08,70.68,0.26,0,0.0,3,-235
0,1402,5,240,40,540.4,13.51,0.06,0,0.0,3,-235
0,1107,2,100,5751,460080.0,80.0,0.8,1,22451.67,0,-54
0,95,2,25,3,225.0,75.0,3.0,1,963.34,0,-125
0,237,2,20,100,2700.0,27.0,1.35,1,692.38,0,-125
0,95,2,20,68,2176.0,32.0,1.6,1,1003.52,0,-91
0,673,1,60,9000,21600.0,2.4,0.04,1,9809.7,0,-55
0,673,1,60,700,7805.0,11.15,0.19,0,3549.77,0,-52
0,615,2,100,1680,117600.0,70.0,0.7,1,3241.06,0,-77
0,615,5,100,2100,10500.0,5.0,0.05,1,1903.54,0,-60
0,588,2,100,9000,648000.0,72.0,0.72,1,25052.69,0,-6
0,1402,5,90,176,3359.84,19.09,0.21,1,0.0,0,-185
0,1402,1,60,5017,24583.3,4.9,0.08,1,0.0,0,-182
0,1402,5,240,929,3390.85,3.65,0.02,0,0.0,0,-181
0,1402,1,60,6700,36582.0,5.46,0.09,1,0.0,0,-123
0,1402,1,60,1350,19062.0,14.12,0.24,0,0.0,0,-153
0,1402,1,30,1120,16307.2,14.56,0.49,1,0.0,0,-130
0,1402,1,60,100,371.0,3.71,0.06,0,0.0,0,-192
0,1402,1,60,1000,2920.0,2.92,0.05,1,0.0,0,-131
0,1402,1,60,260,4035.2,15.52,0.26,0,0.0,0,-131
0,762,1,30,60,1100.4,18.34,0.61,1,428.91,0,-28
0,1402,5,90,5000,160900.0,32.18,0.36,1,0.0,3,-45
0,1402,5,5,166,2265.9,13.65,2.73,0,0.0,0,-42
0,1402,5,60,1500,15150.0,10.1,0.17,0,0.0,0,-42
0,403,1,60,7840,71344.0,9.1,0.15,1,853.88,0,-42
0,1402,5,300,40,1440.0,36.0,0.12,1,0.0,0,-42
0,1402,5,90,6,43.2,7.2,0.08,1,0.0,3,-28
0,1402,5,90,6,43.2,7.2,0.08,1,0.0,3,7
0,237,2,100,425,38250.0,90.0,0.9,1,1859.79,0,4
0,237,2,100,276,24840.0,90.0,0.9,1,1205.7,0,30
0,1402,1,60,76,300.2,3.95,0.07,0,3549.77,3,-39
0,1107,1,120,73,3000.3,41.1,0.34,1,1332.43,0,-12
0,108,2,20,5,160.0,32.0,1.6,1,12561.4,0,17
0,108,2,20,4995,159840.0,32.0,1.6,1,275.0,0,17
0,1107,1,120,2040,83844.0,41.1,0.34,1,3777.93,0,43
0,403,1,60,26932,317528.28,11.79,0.2,1,30661.5,0,49
0,1064,2,40,1000,110000.0,110.0,2.75,1,8114.11,0,44
0,95,2,100,800,56000.0,70.0,0.7,1,2008.54,0,14
0,673,1,30,150,1950.0,13.0,0.43,1,4111.71,0,7
0,1064,2,40,140,15400.0,110.0,2.75,1,4318.21,0,8
0,95,5,60,2000,3800.0,1.9,0.03,1,1484.75,0,78
0,673,5,60,120,840.0,7.0,0.12,1,0.0,0,79
0,1402,1,30,20,438.0,21.9,0.73,1,0.0,3,63
0,1402,1,60,320,1475.2,4.61,0.08,1,0.0,3,50
0,648,2,100,2000,144000.0,72.0,0.72,1,5962.58,0,150
0,237,1,120,2733,224625.27,82.19,0.68,1,314.0,0,67
0,1064,2,40,100,7535.0,75.35,1.88,1,1845.74,0,-999
0,673,1,30,1000,17000.0,17.0,0.57,1,7682.69,0,-1004
0,673,1,60,35000,152250.0,4.35,0.07,0,3549.77,0,-1025
0,673,1,60,20000,338000.0,16.9,0.28,0,3549.77,0,-1025
0,1107,5,240,416,1809.6,4.35,0.02,0,3549.77,0,-977
0,1107,1,60,486,2041.2,4.2,0.07,0,3549.77,0,-977
